symbol,date,field,repo,sina,absdiff
T2403,2024-01-03,settle,102.765,0.0,102.765
T2403,2023-12-22,open,102.71,102.71,0.0
T2403,2023-12-22,high,102.805,102.805,0.0
T2403,2023-12-22,low,102.66,102.66,0.0
T2403,2023-12-22,close,102.67,102.67,0.0
T2403,2023-12-22,settle,102.685,0.0,102.685
T2403,2023-12-15,open,102.365,102.365,0.0
T2403,2023-12-15,high,102.535,102.535,0.0
T2403,2023-12-15,low,102.335,102.335,0.0
T2403,2023-12-15,close,102.53,102.53,0.0
T2403,2023-12-15,settle,102.485,0.0,102.485
T2403,2023-11-29,open,101.78,101.78,0.0
T2403,2023-11-29,high,101.945,101.945,0.0
T2403,2023-11-29,low,101.75,101.75,0.0
T2403,2023-11-29,close,101.895,101.895,0.0
T2403,2023-11-29,settle,101.915,0.0,101.915
T2403,2023-11-28,open,101.705,101.705,0.0
T2403,2023-11-28,high,101.825,101.825,0.0
T2403,2023-11-28,low,101.67,101.67,0.0
T2403,2023-11-28,close,101.825,101.825,0.0
T2403,2023-11-28,settle,101.805,0.0,101.805
T2403,2023-11-21,open,102.05,102.05,0.0
T2403,2023-11-21,high,102.115,102.115,0.0
T2403,2023-11-21,low,101.97,101.97,0.0
T2403,2023-11-21,close,102.015,102.015,0.0
T2403,2023-11-21,settle,102.055,0.0,102.055
T2403,2023-11-14,open,101.98,101.98,0.0
T2403,2023-11-14,high,102.005,102.005,0.0
T2403,2023-11-14,low,101.755,101.755,0.0
T2403,2023-11-14,close,101.85,101.85,0.0
T2403,2023-11-14,settle,101.81,0.0,101.81
T2403,2023-11-13,open,101.95,101.95,0.0
T2403,2023-11-13,high,102.015,102.015,0.0
T2403,2023-11-13,low,101.9,101.9,0.0
T2403,2023-11-13,close,101.975,101.975,0.0
T2403,2023-11-13,settle,101.995,0.0,101.995
T2403,2023-11-09,open,101.88,101.88,0.0
T2403,2023-11-09,high,101.945,101.945,0.0
T2403,2023-11-09,low,101.845,101.845,0.0
T2403,2023-11-09,close,101.875,101.875,0.0
T2403,2023-11-09,settle,101.905,0.0,101.905
T2403,2023-08-30,open,101.99,101.99,0.0
T2403,2023-08-30,high,102.155,102.155,0.0
T2403,2023-08-30,low,101.97,101.97,0.0
T2403,2023-08-30,close,102.115,102.115,0.0
T2403,2023-08-30,settle,102.11,0.0,102.11
T2403,2023-08-01,open,101.0,101.0,0.0
T2403,2023-08-01,high,101.135,101.135,0.0
T2403,2023-08-01,low,100.99,100.99,0.0
T2403,2023-08-01,close,100.99,100.99,0.0
T2403,2023-08-01,settle,101.06,0.0,101.06
T2403,2023-07-18,open,101.375,101.375,0.0
T2403,2023-07-18,high,101.455,101.455,0.0
T2403,2023-07-18,low,101.375,101.375,0.0
T2403,2023-07-18,close,101.44,101.44,0.0
T2403,2023-07-18,settle,101.43,0.0,101.43
T2403,2023-06-29,open,100.945,100.945,0.0
T2403,2023-06-29,high,101.095,101.095,0.0
T2403,2023-06-29,low,100.93,100.93,0.0
T2403,2023-06-29,close,101.05,101.05,0.0
T2403,2023-06-29,settle,101.065,0.0,101.065
T2403,2023-06-19,open,100.835,100.835,0.0
T2403,2023-06-19,high,100.905,100.905,0.0
T2403,2023-06-19,low,100.66,100.66,0.0
T2403,2023-06-19,close,100.715,100.715,0.0
T2403,2023-06-19,settle,100.745,0.0,100.745
T2403,2023-06-14,open,101.445,101.445,0.0
T2403,2023-06-14,high,101.585,101.585,0.0
T2403,2023-06-14,low,101.375,101.375,0.0
T2403,2023-06-14,close,101.41,101.41,0.0
T2403,2023-06-14,settle,101.4,0.0,101.4
SC2409,2024-08-22,open,546.2,546.2,0.0
SC2409,2024-08-22,high,550.3,550.3,0.0
SC2409,2024-08-22,low,532.9,532.9,0.0
SC2409,2024-08-22,close,533.8,533.8,0.0
SC2409,2024-08-22,settle,542.9,542.9,0.0
SC2409,2024-08-21,open,544.6,544.6,0.0
SC2409,2024-08-21,high,551.7,551.7,0.0
SC2409,2024-08-21,low,539.9,539.9,0.0
SC2409,2024-08-21,close,545.9,545.9,0.0
SC2409,2024-08-21,settle,546.2,546.2,0.0
SC2409,2024-08-16,open,569.9,569.9,0.0
SC2409,2024-08-16,high,578.1,578.1,0.0
SC2409,2024-08-16,low,569.9,569.9,0.0
SC2409,2024-08-16,close,571.7,571.7,0.0
SC2409,2024-08-16,settle,574.7,574.7,0.0
SC2409,2024-07-12,open,620.4,620.4,0.0
SC2409,2024-07-12,high,621.7,621.7,0.0
SC2409,2024-07-12,low,613.5,613.5,0.0
SC2409,2024-07-12,close,621.4,621.4,0.0
SC2409,2024-07-12,settle,617.7,617.7,0.0
SC2409,2024-06-05,open,569.8,569.8,0.0
SC2409,2024-06-05,high,572.0,572.0,0.0
SC2409,2024-06-05,low,566.0,566.0,0.0
SC2409,2024-06-05,close,568.8,568.8,0.0
SC2409,2024-06-05,settle,569.1,569.1,0.0
SC2409,2024-05-20,open,612.2,612.2,0.0
SC2409,2024-05-20,high,616.8,616.8,0.0
SC2409,2024-05-20,low,607.7,607.7,0.0
SC2409,2024-05-20,close,616.4,616.4,0.0
SC2409,2024-05-20,settle,612.6,612.6,0.0
SC2409,2024-04-24,open,617.7,617.7,0.0
SC2409,2024-04-24,high,634.4,634.4,0.0
SC2409,2024-04-24,low,616.1,616.1,0.0
SC2409,2024-04-24,close,633.8,633.8,0.0
SC2409,2024-04-24,settle,625.0,625.0,0.0
SC2409,2024-04-02,open,625.5,625.5,0.0
SC2409,2024-04-02,high,629.8,629.8,0.0
SC2409,2024-04-02,low,621.6,621.6,0.0
SC2409,2024-04-02,close,629.5,629.5,0.0
SC2409,2024-04-02,settle,626.5,626.5,0.0
SC2409,2024-03-19,open,603.5,603.5,0.0
SC2409,2024-03-19,high,612.8,612.8,0.0
SC2409,2024-03-19,low,603.5,603.5,0.0
SC2409,2024-03-19,close,612.3,612.3,0.0
SC2409,2024-03-19,settle,609.7,609.7,0.0
SC2409,2024-01-05,ROW,has,MISSING,
SC2409,2023-10-23,ROW,has,MISSING,
SC2409,2023-05-24,open,515.4,515.4,0.0
SC2409,2023-05-24,high,515.4,515.4,0.0
SC2409,2023-05-24,low,515.4,515.4,0.0
SC2409,2023-05-24,close,515.4,515.4,0.0
SC2409,2023-05-24,settle,515.4,515.4,0.0
SC2409,2023-04-20,ROW,has,MISSING,
SC2409,2022-12-26,ROW,has,MISSING,
SC2409,2022-12-20,ROW,has,MISSING,
SC2409,2022-09-30,ROW,has,MISSING,
SC2409,2022-06-08,ROW,has,MISSING,
SC2409,2022-05-20,ROW,has,MISSING,
SC2409,2022-04-19,ROW,has,MISSING,
SC2409,2022-02-16,ROW,has,MISSING,
AL2406,2024-04-19,open,20475.0,20475.0,0.0
AL2406,2024-04-19,high,20560.0,20560.0,0.0
AL2406,2024-04-19,low,20265.0,20265.0,0.0
AL2406,2024-04-19,close,20350.0,20350.0,0.0
AL2406,2024-04-19,settle,20380.0,20380.0,0.0
AL2406,2024-04-09,open,20225.0,20225.0,0.0
AL2406,2024-04-09,high,20320.0,20320.0,0.0
AL2406,2024-04-09,low,20120.0,20120.0,0.0
AL2406,2024-04-09,close,20230.0,20230.0,0.0
AL2406,2024-04-09,settle,20225.0,20225.0,0.0
AL2406,2024-03-19,open,19285.0,19285.0,0.0
AL2406,2024-03-19,high,19390.0,19390.0,0.0
AL2406,2024-03-19,low,19140.0,19140.0,0.0
AL2406,2024-03-19,close,19190.0,19190.0,0.0
AL2406,2024-03-19,settle,19265.0,19265.0,0.0
AL2406,2024-03-11,open,19145.0,19145.0,0.0
AL2406,2024-03-11,high,19145.0,19145.0,0.0
AL2406,2024-03-11,low,18990.0,18990.0,0.0
AL2406,2024-03-11,close,19085.0,19085.0,0.0
AL2406,2024-03-11,settle,19070.0,19070.0,0.0
AL2406,2024-02-06,open,18715.0,18715.0,0.0
AL2406,2024-02-06,high,18775.0,18775.0,0.0
AL2406,2024-02-06,low,18665.0,18665.0,0.0
AL2406,2024-02-06,close,18760.0,18760.0,0.0
AL2406,2024-02-06,settle,18715.0,18715.0,0.0
AL2406,2024-01-09,open,19000.0,19000.0,0.0
AL2406,2024-01-09,high,19010.0,19010.0,0.0
AL2406,2024-01-09,low,18870.0,18870.0,0.0
AL2406,2024-01-09,close,18895.0,18895.0,0.0
AL2406,2024-01-09,settle,18925.0,18925.0,0.0
AL2406,2023-12-11,open,18355.0,18355.0,0.0
AL2406,2023-12-11,high,18385.0,18385.0,0.0
AL2406,2023-12-11,low,18130.0,18130.0,0.0
AL2406,2023-12-11,close,18240.0,18240.0,0.0
AL2406,2023-12-11,settle,18180.0,18180.0,0.0
AL2406,2023-12-08,open,18220.0,18220.0,0.0
AL2406,2023-12-08,high,18375.0,18375.0,0.0
AL2406,2023-12-08,low,18145.0,18145.0,0.0
AL2406,2023-12-08,close,18370.0,18370.0,0.0
AL2406,2023-12-08,settle,18230.0,18230.0,0.0
AL2406,2023-12-01,open,18515.0,18515.0,0.0
AL2406,2023-12-01,high,18525.0,18525.0,0.0
AL2406,2023-12-01,low,18415.0,18415.0,0.0
AL2406,2023-12-01,close,18430.0,18430.0,0.0
AL2406,2023-12-01,settle,18480.0,18480.0,0.0
AL2406,2023-11-30,open,18520.0,18520.0,0.0
AL2406,2023-11-30,high,18575.0,18575.0,0.0
AL2406,2023-11-30,low,18495.0,18495.0,0.0
AL2406,2023-11-30,close,18550.0,18550.0,0.0
AL2406,2023-11-30,settle,18515.0,18515.0,0.0
AL2406,2023-11-16,open,18890.0,18890.0,0.0
AL2406,2023-11-16,high,18905.0,18905.0,0.0
AL2406,2023-11-16,low,18850.0,18850.0,0.0
AL2406,2023-11-16,close,18890.0,18890.0,0.0
AL2406,2023-11-16,settle,18890.0,18890.0,0.0
AL2406,2023-11-08,open,19010.0,19010.0,0.0
AL2406,2023-11-08,high,19120.0,19120.0,0.0
AL2406,2023-11-08,low,18995.0,18995.0,0.0
AL2406,2023-11-08,close,19110.0,19110.0,0.0
AL2406,2023-11-08,settle,19045.0,19045.0,0.0
AL2406,2023-11-03,open,18990.0,18990.0,0.0
AL2406,2023-11-03,high,18990.0,18990.0,0.0
AL2406,2023-11-03,low,18945.0,18945.0,0.0
AL2406,2023-11-03,close,18950.0,18950.0,0.0
AL2406,2023-11-03,settle,18970.0,18970.0,0.0
AL2406,2023-10-17,open,18765.0,18765.0,0.0
AL2406,2023-10-17,high,18765.0,18765.0,0.0
AL2406,2023-10-17,low,18585.0,18585.0,0.0
AL2406,2023-10-17,close,18615.0,18615.0,0.0
AL2406,2023-10-17,settle,18630.0,18630.0,0.0
AL2406,2023-09-27,open,18200.0,18200.0,0.0
AL2406,2023-09-27,high,19130.0,19130.0,0.0
AL2406,2023-09-27,low,18200.0,18200.0,0.0
AL2406,2023-09-27,close,19130.0,19130.0,0.0
AL2406,2023-09-27,settle,18335.0,18335.0,0.0
AL2406,2023-09-21,open,19050.0,19050.0,0.0
AL2406,2023-09-21,high,19095.0,19095.0,0.0
AL2406,2023-09-21,low,18950.0,18950.0,0.0
AL2406,2023-09-21,close,19015.0,19015.0,0.0
AL2406,2023-09-21,settle,19020.0,19020.0,0.0
AL2406,2023-09-01,open,18600.0,18600.0,0.0
AL2406,2023-09-01,high,18985.0,18985.0,0.0
AL2406,2023-09-01,low,18570.0,18570.0,0.0
AL2406,2023-09-01,close,18895.0,18895.0,0.0
AL2406,2023-09-01,settle,18775.0,18775.0,0.0
AL2406,2023-08-24,open,18315.0,18315.0,0.0
AL2406,2023-08-24,high,18375.0,18375.0,0.0
AL2406,2023-08-24,low,18305.0,18305.0,0.0
AL2406,2023-08-24,close,18335.0,18375.0,40.0
AL2406,2023-08-24,settle,18325.0,18325.0,0.0
AL2406,2023-08-09,open,18190.0,18190.0,0.0
AL2406,2023-08-09,high,18300.0,18300.0,0.0
AL2406,2023-08-09,low,18190.0,18190.0,0.0
AL2406,2023-08-09,close,18300.0,18300.0,0.0
AL2406,2023-08-09,settle,18250.0,18250.0,0.0
AL2406,2023-06-16,open,17600.0,17600.0,0.0
AL2406,2023-06-16,high,17805.0,17805.0,0.0
AL2406,2023-06-16,low,17570.0,17570.0,0.0
AL2406,2023-06-16,close,17780.0,17780.0,0.0
AL2406,2023-06-16,settle,17680.0,17680.0,0.0
